
 Numero de operacoes: 100


Lista de Operacoes


Oper   Job   Maq   Temp Proc

   1     1     5   88
   2     1     9   68
   3     1     7   94
   4     1     6   99
   5     1     2   67
   6     1     3   89
   7     1    10   77
   8     1     8   99
   9     1     1   86
  10     1     4   92
  11     2     6   72
  12     2     4   50
  13     2     7   69
  14     2     5   75
  15     2     3   94
  16     2     9   66
  17     2     1   92
  18     2     2   82
  19     2     8   94
  20     2    10   63
  21     3    10   83
  22     3     9   61
  23     3     1   83
  24     3     2   65
  25     3     7   64
  26     3     6   85
  27     3     8   78
  28     3     5   85
  29     3     3   55
  30     3     4   77
  31     4     8   94
  32     4     3   68
  33     4     2   61
  34     4     5   99
  35     4     4   54
  36     4     7   75
  37     4     6   66
  38     4     1   76
  39     4    10   63
  40     4     9   67
  41     5     4   69
  42     5     5   88
  43     5    10   82
  44     5     9   95
  45     5     1   99
  46     5     3   67
  47     5     7   95
  48     5     6   68
  49     5     8   67
  50     5     2   86
  51     6     2   99
  52     6     5   81
  53     6     6   64
  54     6     7   66
  55     6     9   80
  56     6     3   80
  57     6     8   69
  58     6    10   62
  59     6     4   79
  60     6     1   88
  61     7     8   50
  62     7     2   86
  63     7     5   97
  64     7     4   96
  65     7     1   95
  66     7     9   97
  67     7     3   66
  68     7     6   99
  69     7     7   52
  70     7    10   71
  71     8     5   98
  72     8     7   73
  73     8     4   82
  74     8     3   51
  75     8     2   71
  76     8     6   94
  77     8     8   85
  78     8     1   62
  79     8     9   95
  80     8    10   79
  81     9     1   94
  82     9     7   71
  83     9     4   81
  84     9     8   85
  85     9     2   66
  86     9     3   90
  87     9     5   76
  88     9     6   58
  89     9     9   93
  90     9    10   97
  91    10     4   50
  92    10     1   59
  93    10     2   82
  94    10     9   67
  95    10     8   56
  96    10    10   96
  97    10     7   58
  98    10     5   81
  99    10     6   59
 100    10     3   96

Numero de pares em A  :  90

 1: ( 1, 2)
 2: ( 2, 3)
 3: ( 3, 4)
 4: ( 4, 5)
 5: ( 5, 6)
 6: ( 6, 7)
 7: ( 7, 8)
 8: ( 8, 9)
 9: ( 9,10)
10: (11,12)
11: (12,13)
12: (13,14)
13: (14,15)
14: (15,16)
15: (16,17)
16: (17,18)
17: (18,19)
18: (19,20)
19: (21,22)
20: (22,23)
21: (23,24)
22: (24,25)
23: (25,26)
24: (26,27)
25: (27,28)
26: (28,29)
27: (29,30)
28: (31,32)
29: (32,33)
30: (33,34)
31: (34,35)
32: (35,36)
33: (36,37)
34: (37,38)
35: (38,39)
36: (39,40)
37: (41,42)
38: (42,43)
39: (43,44)
40: (44,45)
41: (45,46)
42: (46,47)
43: (47,48)
44: (48,49)
45: (49,50)
46: (51,52)
47: (52,53)
48: (53,54)
49: (54,55)
50: (55,56)
51: (56,57)
52: (57,58)
53: (58,59)
54: (59,60)
55: (61,62)
56: (62,63)
57: (63,64)
58: (64,65)
59: (65,66)
60: (66,67)
61: (67,68)
62: (68,69)
63: (69,70)
64: (71,72)
65: (72,73)
66: (73,74)
67: (74,75)
68: (75,76)
69: (76,77)
70: (77,78)
71: (78,79)
72: (79,80)
73: (81,82)
74: (82,83)
75: (83,84)
76: (84,85)
77: (85,86)
78: (86,87)
79: (87,88)
80: (88,89)
81: (89,90)
82: (91,92)
83: (92,93)
84: (93,94)
85: (94,95)
86: (95,96)
87: (96,97)
88: (97,98)
89: (98,99)
90: (99,100)
